country,slug,alert_status
St Vincent and the Grenadines,st-vincent-and-the-grenadines,No alert status
Turks and Caicos Islands,turks-and-caicos-islands,No alert status
Samoa,samoa,No alert status
Palau,palau,No alert status
Tuvalu,tuvalu,No alert status
Uzbekistan,uzbekistan,No alert status
Bahrain,bahrain,No alert status
Algeria,algeria,avoid_all_travel_to_parts
Ukraine,ukraine,"avoid_all_travel_to_parts, avoid_all_but_essential_travel_to_parts"
Wallis and Futuna,wallis-and-futuna,No alert status
Andorra,andorra,No alert status
Armenia,armenia,avoid_all_travel_to_parts
Kuwait,kuwait,No alert status
Morocco,morocco,No alert status
Bosnia and Herzegovina,bosnia-and-herzegovina,No alert status
Western Sahara,western-sahara,avoid_all_travel_to_parts
Yemen,yemen,avoid_all_travel_to_whole_country
Anguilla,anguilla,No alert status
Antigua and Barbuda,antigua-and-barbuda,No alert status
Aruba,aruba,No alert status
Bahamas,bahamas,No alert status
Bermuda,bermuda,No alert status
British Virgin Islands,british-virgin-islands,No alert status
Gibraltar,gibraltar,No alert status
Cayman Islands,cayman-islands,No alert status
Costa Rica,costa-rica,No alert status
Curaçao,curacao,No alert status
Ireland,ireland,No alert status
El Salvador,el-salvador,No alert status
Kosovo,kosovo,avoid_all_but_essential_travel_to_parts
Guadeloupe,guadeloupe,No alert status
Guatemala,guatemala,avoid_all_but_essential_travel_to_parts
Haiti,haiti,avoid_all_travel_to_whole_country
Honduras,honduras,No alert status
Jamaica,jamaica,No alert status
Martinique,martinique,No alert status
Mayotte,mayotte,avoid_all_but_essential_travel_to_whole_country
São Tomé and Principe,sao-tome-and-principe,No alert status
Moldova,moldova,avoid_all_travel_to_parts
Monaco,monaco,No alert status
Montenegro,montenegro,No alert status
Senegal,senegal,No alert status
North Macedonia,north-macedonia,No alert status
Tunisia,tunisia,avoid_all_travel_to_parts
Uganda,uganda,avoid_all_but_essential_travel_to_parts
Russia,russia,avoid_all_travel_to_whole_country
Bonaire/St Eustatius/Saba,bonaire-st-eustatius-saba,No alert status
San Marino,san-marino,No alert status
Liberia,liberia,No alert status
Mali,mali,avoid_all_travel_to_parts
Malawi,malawi,No alert status
Niger,niger,avoid_all_travel_to_parts
Cape Verde,cape-verde,No alert status
Canada,canada,No alert status
Vanuatu,vanuatu,No alert status
Chile,chile,No alert status
Falkland Islands,falkland-islands,No alert status
Jordan,jordan,avoid_all_travel_to_parts
Réunion,reunion,No alert status
Mozambique,mozambique,"avoid_all_travel_to_parts, avoid_all_but_essential_travel_to_parts"
Djibouti,djibouti,avoid_all_travel_to_parts
Iran,iran,avoid_all_travel_to_whole_country
Iraq,iraq,"avoid_all_travel_to_parts, avoid_all_but_essential_travel_to_parts"
Syria,syria,avoid_all_travel_to_whole_country
Ethiopia,ethiopia,"avoid_all_travel_to_parts, avoid_all_but_essential_travel_to_parts"
Guinea,guinea,No alert status
Cuba,cuba,No alert status
Maldives,maldives,No alert status
Argentina,argentina,No alert status
Israel,israel,avoid_all_travel_to_parts
The Occupied Palestinian Territories,the-occupied-palestinian-territories,avoid_all_travel_to_parts
Bolivia,bolivia,avoid_all_but_essential_travel_to_parts
Somalia,somalia,avoid_all_travel_to_parts
Nepal,nepal,No alert status
